,Topic,Word,P
0,0,day,0.027072535827755928
1,0,work,0.021196778863668442
2,0,office,0.018808778375387192
3,0,home,0.010853786952793598
4,0,today,0.009145589545369148
5,0,working,0.009099368005990982
6,0,look,0.007823420688509941
7,0,weekend,0.007354081608355045
8,0,morning,0.007229968439787626
9,0,week,0.007210393436253071
10,1,get,0.02736935019493103
11,1,sleep,0.01354993972927332
12,1,hustle,0.01113712415099144
13,1,free,0.010473710484802723
14,1,edition,0.01025293581187725
15,1,optimize,0.010214412584900856
16,1,income,0.009521136991679668
17,1,big,0.008476806804537773
18,1,never,0.007363863755017519
19,1,would,0.00712894881144166
20,2,amp,0.013415665365755558
21,2,work,0.01084740087389946
22,2,new,0.010310771875083447
23,2,home,0.010225464589893818
24,2,remote,0.009241282008588314
25,2,day,0.009155374951660633
26,2,make,0.009018520824611187
27,2,team,0.008234549313783646
28,2,back,0.007463925518095493
29,2,working,0.006597836967557669
30,3,new,0.028653820976614952
31,3,job,0.018643906340003014
32,3,remote,0.016613556072115898
33,3,amp,0.015109268017113209
34,3,u,0.011266650632023811
35,3,work,0.009861004538834095
36,3,learn,0.005656808149069548
37,3,want,0.005529522430151701
38,3,sign,0.005441051442176104
39,3,team,0.0051957531832158566
40,4,home,0.03204429894685745
41,4,work,0.027104955166578293
42,4,business,0.02649012766778469
43,4,employee,0.018913932144641876
44,4,help,0.015789173543453217
45,4,remote,0.015454615466296673
46,4,working,0.015099043026566505
47,4,make,0.010312782600522041
48,4,solution,0.009313587099313736
49,4,company,0.008869005367159843
50,5,home,0.03748772665858269
51,5,work,0.03266788646578789
52,5,working,0.017082877457141876
53,5,time,0.016354886814951897
54,5,get,0.014707478694617748
55,5,help,0.011363285593688488
56,5,tip,0.011221990920603275
57,5,best,0.00994251761585474
58,5,video,0.00902037974447012
59,5,business,0.00834285095334053
60,6,home,0.0385110005736351
61,6,working,0.03131485730409622
62,6,office,0.01477871648967266
63,6,today,0.014410595409572124
64,6,stay,0.013322468847036362
65,6,make,0.012873545289039612
66,6,work,0.011443866416811943
67,6,free,0.010424138978123665
68,6,productive,0.010322473011910915
69,6,start,0.01031225174665451
70,7,gt,0.03099956177175045
71,7,check,0.012463102117180824
72,7,free,0.011850971728563309
73,7,way,0.011462285183370113
74,7,online,0.011004400439560413
75,7,new,0.01030251570045948
76,7,like,0.009394190274178982
77,7,make,0.008416394703090191
78,7,take,0.008157073520123959
79,7,get,0.007958358153700829
80,8,amp,0.017618801444768906
81,8,time,0.014099515043199062
82,8,work,0.013045535422861576
83,8,home,0.0104135787114501
84,8,take,0.009775727055966854
85,8,day,0.007885553874075413
86,8,one,0.00783686712384224
87,8,great,0.006899562198668718
88,8,way,0.006587515585124493
89,8,today,0.005348898470401764
90,9,work,0.018598565831780434
91,9,home,0.017251471057534218
92,9,team,0.015526117756962776
93,9,via,0.013524330221116543
94,9,new,0.012259404174983501
95,9,working,0.011890603229403496
96,9,covid,0.010554762557148933
97,9,remote,0.008997345343232155
98,9,virtual,0.008959535509347916
99,9,employee,0.008845392614603043
